,feature_16_0,feature_16_1,feature_16_2,feature_16_3,feature_16_4,feature_16_5,feature_16_6,feature_16_7,feature_16_8,feature_16_9,feature_16_10,feature_16_11,feature_16_12,feature_16_13,feature_16_14,feature_16_15,feature_16_16,feature_16_17,feature_16_18,feature_16_19,feature_69,feature_88,feature_96,feature_72,feature_13,feature_40,feature_10,feature_50,feature_56,feature_41,feature_4,feature_5,feature_76,feature_61,feature_82,feature_37,feature_29,feature_28,feature_0,feature_80,feature_48,feature_42,feature_58,feature_19,feature_22,feature_93,feature_25,feature_47,feature_9,feature_94
0,-58.41222311441273,43.441669325598355,34.88316085054321,45.25997986612555,-59.25066923171607,-45.39354821139984,-42.964700996234896,12.268186834114628,-1.575445056253673,-96.6148697604518,-10.250067123049998,-18.925628999855512,-93.19293740016474,33.079082741527515,-84.29213932902982,-74.33171027585438,34.95876212513084,29.2410723131834,-10.826522182596497,26.37368689442264,6.303962196099089,-19.213468840177264,16.658948465285512,-30.948413097989974,26.39466236309893,2.555003978186604,27.00932504852472,-76.30586496648877,38.31792783537884,-42.28514373779475,45.71588328906836,58.33719500006921,96.25209970073242,-100.97181936616292,-18.087635627650414,-29.099253646155734,-62.68083338652038,-5.6216496038481045,0.23976288474588348,-98.62310204233876,64.71184598306525,76.18208380806163,-32.74573775338698,56.468549531322225,59.945308135933914,-88.44731831066186,-63.54459700127039,4.667864530209173,45.1218397024612,27.353913659142602
1,-61.96268494979943,61.88135528067906,34.997808101281095,56.505101248940676,-47.42304910440225,-51.43730031085106,-42.62190053763669,10.708397724792071,11.312830796725677,-90.59434047323363,-17.89022169260277,-15.328002877942133,-87.96126888940235,50.43505805712798,-106.10318124698436,-85.91606209934406,47.11131699106182,42.48945952060234,5.566496540416854,23.047473611341037,31.5800945403523,-15.452316827972268,19.072340139652876,-30.4287038513189,23.23833306654686,35.01884548641614,14.15088630120201,-74.38745030339521,40.45511713348907,-50.41862175884008,51.500443049397525,65.2765949481942,100.66861715847249,-92.0862546753246,-18.959660951110045,-30.29076811968174,-72.80108933976469,5.854351684590949,9.623590053771505,-86.70765296529457,70.1672962686861,62.593522186922335,-28.063559707156667,66.80413094874379,66.78972803758272,-85.87104019925658,-63.35760862923709,32.7265003298531,42.7827991662503,23.66922833915583
2,-55.00238646699026,46.57911384678344,32.63882884095376,57.82478266797807,-58.15045465340949,-44.37505574290514,-40.016979850044265,1.6236394917296817,9.035699751603726,-100.34277646004277,9.269194845775328,-0.7054045233907456,-72.19224754010479,31.53524766988182,-98.76928678994395,-90.2502801974544,42.712808509673934,33.73778959762334,-0.10537636338335166,22.19045210179039,14.684029039387898,2.1321638517039947,10.130185868864258,-34.86525968945783,21.94197727422299,10.332820921521014,-7.684809231570146,-74.3896351119833,39.74248780869816,-48.5630284639206,41.732747600066645,62.26002031698947,100.19091407716046,-75.6240829518062,3.0796657925596076,-40.47933167786602,-53.20423566010583,-3.498771750201994,-2.7826773376886047,-73.82279180063387,71.80280235022529,69.2829849830811,-33.6982580675284,64.29248526641013,65.25022040789892,-72.59627555631985,-72.78991150155827,12.487562091068185,45.73043257395464,22.988392280792254
3,-75.46579989585132,53.0969509319135,38.38267151225768,38.38994276667022,-55.43819592326973,-52.73888514360684,-49.53669332579162,29.524134585144232,11.109682296179248,-110.2478183647202,-10.775872751819659,-3.060202552756149,-87.89207591417711,37.97384819750443,-93.08616170574737,-93.69142709604174,31.17963941345014,35.7258869397518,-3.1526520106855065,26.12449164646384,11.250987702830514,-5.848030088434761,17.3213144732145,-35.48342056365392,26.74670595746953,8.57710860338789,-4.608906764586104,-73.23270713231852,38.290381420776306,-29.668471118398134,42.228437192678484,67.9731822609679,100.08339556240574,-81.99726637659249,-3.7222776174140684,-32.55664767071046,-56.92173993271335,3.452622074372175,1.8370567089078667,-82.84822957916849,66.5942032477274,83.79105986433933,-41.270851776119216,64.55366917779608,66.99539109936859,-85.30480904030958,-71.01852770835477,12.616340267051536,44.67735645199205,25.30860088170081
4,-68.13784196520041,40.22513326347989,33.74594235812727,56.25056355443631,-47.677175248945375,-46.01603905152584,-37.882654868498626,4.294748541561287,-0.2703902910556186,-90.69602886546834,-2.95708562412202,-1.0523453631406037,-67.81351600689673,52.06275335727156,-106.67945759066276,-91.1549196805207,36.024278327738195,33.51334887711597,3.621884189919592,29.166863194278587,10.834057353217494,-2.4701285523088603,17.400604285573426,-38.080524898400235,28.644138614501067,11.044883546523728,-5.975728561516359,-69.500066179498,39.31746846755406,-42.810527068481406,43.889022551722846,68.22007792930971,91.91170958180464,-68.76864449833036,1.406497841464259,-31.341311397185475,-62.72462264303014,4.391265847553319,5.9950020844256855,-69.45998396095514,76.61861023565027,78.05427370580729,-37.39006588016327,71.41931051644781,71.2921155327139,-69.38398667159144,-71.09608005857964,9.252104341294212,40.197807616271334,27.892570877906984
5,-47.51700231713767,44.199434185602605,42.948887686690654,48.90727181517053,-69.5121046470685,-44.877075073067765,-49.66239754231715,9.120002979887698,0.7186444385308803,-97.52701393599733,-5.011847478207013,-6.104849842812288,-88.00737683061428,47.826965192249716,-96.81203695237772,-75.76184411336774,43.355622664700384,30.603112269456833,-1.0412084889767381,21.010794918341006,16.930814628622812,-2.1299329748797486,19.28078764700323,-45.98527408248318,20.569186438165197,17.242750135664824,14.786518016336807,-79.39908334058538,38.61482670228362,-53.07324683015892,47.74739435780789,64.71786628211518,98.00126193232822,-97.20025040359567,-8.050273351362298,-37.685732790070986,-55.928030269778226,9.330066879463061,2.4590430715722538,-90.25712436891224,65.56519436365615,64.4579603407609,-44.85139562779838,60.22391049893293,64.6506617663598,-91.908150472212,-67.42596971069098,18.542826887883265,45.01648189336872,19.97028955111698
6,-69.34512382355423,43.96477816000842,43.55916946219975,45.51698239693504,-60.81491643269002,-48.835799968212946,-42.42708747867432,-0.8787901169265417,7.446138153498994,-100.44973823794501,-1.756391715744317,-3.791263598784731,-81.6646196887405,53.46903627108958,-90.48100700693966,-87.78784848134418,38.06780117055049,31.248213252396642,0.6697636554939408,26.620985564990058,3.593918697340376,-3.9749685526436322,13.075741588997909,-37.62116536865021,25.94161122021386,5.429317312692726,5.65741165761593,-72.04154911574422,38.04069490729751,-50.251628906504166,49.44763082047219,80.69661248214133,95.43152827228934,-80.48393691023313,-5.441919358610173,-34.44725315603813,-69.26289113177828,-8.595097867202856,5.843192427161083,-86.34283385490556,75.1974080049461,67.91806687557283,-40.64118755810888,73.78107755925171,75.6566845908362,-76.89951953618002,-58.21133018228958,1.1700777746050246,42.73050233841597,27.206887460779118
7,-50.664504037559254,44.19277044805793,40.45931063759542,34.44947524675186,-46.41208758072265,-48.757007382408254,-45.90067310734797,12.662571201680098,2.7639645616852673,-105.89921996569801,-10.611070646156227,-16.48387408403373,-91.88424649917313,60.71568310941392,-90.53536046298906,-87.17200546657705,24.144553761888936,30.474615833552555,0.8749009868385296,18.63495033886468,2.5624039896093107,-22.416005753524725,19.4610429674352,-36.46203484311353,18.21695901644523,7.223931411875432,7.50099685021779,-79.82698570263308,38.028400686318385,-38.65064953680135,51.25790426689776,66.89968766900644,91.4956334909084,-88.81335691369974,-18.74689128722254,-37.48610814426029,-70.09509579114498,-8.307688141707176,2.128588519215916,-91.2515959829814,70.14959822327864,73.44179661235276,-32.96523934997581,64.95531816737915,66.55602023776026,-91.06533431823601,-72.24407472972943,3.0198650427742244,41.798894317094046,17.966431468244096
8,-67.06227749111484,43.73388181200622,41.04342500332652,51.92403695990448,-57.77771568437656,-46.91890607137381,-46.651137965393204,27.905179376226087,13.897785339745834,-92.58717559165838,-14.532400402380205,-20.104729788068497,-78.56035256551147,36.534949480358165,-80.49195277822088,-68.60141557813634,35.62067721886836,29.19609370705692,3.772173351878032,19.80946381530174,24.91579589467976,-19.464437619489768,24.020438298561146,-35.63671754848301,20.250562702736396,22.869419727501054,14.910443024515047,-75.2230475335377,38.74592746447744,-32.65976125839626,40.84904250079395,73.40366994795023,96.84497904719194,-80.64749531758072,-21.143110126633793,-29.458172335739256,-64.55256194222859,10.006701715502688,8.284570952676935,-77.025641755121,71.13141243688304,79.12759637526622,-35.12920635358,77.26365840249153,75.36991730873085,-79.38310815943592,-60.60830742822402,22.565638723087055,44.21090200929001,21.238099589976432
9,-66.29508923848267,51.81172044753873,44.46613053892902,52.144459461084665,-55.9597120082981,-45.744592622420626,-52.22072810588821,4.925185736344378,7.754308112313195,-105.47480009479115,-24.235074278731048,-23.834436049744774,-97.6367673017515,47.051985546012794,-93.4419805291788,-73.5591322679327,16.977497508214125,18.865995618669658,-3.891530770263002,24.67766070785369,16.25874380960835,-26.949298794464728,14.322762752801426,-28.726101266611835,24.281104240376287,20.3482535798777,18.32558635297323,-73.40900589451512,39.77365841587454,-41.774162294630564,54.37627468626297,70.94251408110617,92.94952362868105,-93.84626098070753,-22.293424028555943,-27.634069029901006,-63.20190203432859,2.3065356965277157,2.7171026449308737,-96.33251114022731,51.12744256705715,73.14339089599166,-31.90750740225326,68.28569805255974,70.58111406826045,-96.11108981805403,-68.81243352669945,18.890038033222993,42.5934685136821,25.091961665157392
